"Date	ALU.AX	BEN.AX	BKL.AX	BKW.AX	CMW.AX	CQR.AX	FBU.AX	FLT.AX	FXJ.AX	HVN.AX	IAG.AX	IOF.AX	IRE.AX	NCM.AX	NVT.AX	OSH.AX	QAN.AX	SRX.AX	SUL.AX	TNE.AX	TPM.AX"
"2/01/2006	0.186195	4.126374	7.043136	7.086238	0.310311	5.674726	3.615679	5.193053	0.974623	1.356511	2.13206	2.946281	2.120726	19.821302	0.86569	3.155906	2.9	1.643871	1.266253	0.305582	0.571691"
"3/01/2006	0.206886	4.098342	7.043136	7.125144	0.252128	5.790537	3.605275	5.250868	0.981951	1.370261	2.147766	3.024406	2.130008	20.833271	0.856071	3.197651	2.921377	1.643871	1.302955	0.305582	0.545527"
"4/01/2006	0.234469	4.185911	7.033486	7.114028	0.24049	5.790537	3.600069	5.266638	1.011261	1.361094	2.128134	2.979762	2.153211	20.4076	0.846452	3.172604	2.885749	1.652523	1.169905	0.300221	0.540942"
"5/01/2006	0.227577	4.126374	6.994894	7.225185	0.24049	5.790537	3.563651	5.245614	0.996608	1.351928	2.112428	3.013242	2.171769	20.014061	0.846452	3.114162	2.885749	1.678479	1.146967	0.300221	0.568448"
"8/01/2006	0.220677	4.140372	6.970775	7.169606	0.287036	5.790537	3.57406	5.308688	0.991721	1.365677	2.143839	3.00208	2.185695	20.77705	0.846452	3.206001	2.871498	1.687131	1.174495	0.305582	0.566155"
"9/01/2006	0.220677	4.133356	7.019017	7.05845	0.287036	5.747108	3.584464	5.235102	1.003932	1.374844	2.151692	2.990924	2.153211	20.961771	0.851262	3.164255	2.785991	1.678479	1.183669	0.300221	0.559277"
"10/01/2006	0.213785	4.133356	7.033486	7.05845	0.287036	5.790537	3.610477	5.250868	0.999049	1.374844	2.218442	3.013242	2.171769	20.5602	0.851262	3.139209	2.842995	1.713087	1.16532	0.300221	0.543234"
"11/01/2006	0.203436	4.11585	7.067256	7.002872	0.28316	5.761584	3.631284	5.256126	1.003932	1.416089	2.194883	3.00208	2.125364	20.014061	0.86569	3.147557	2.850121	1.661175	1.169905	0.300221	0.540942"
"12/01/2006	0.206886	4.171912	6.994894	7.008429	0.263765	5.761584	3.584464	5.256126	0.991721	1.42525	2.245927	3.00208	2.153211	19.684776	0.86569	3.180953	2.864372	1.661175	1.142377	0.305582	0.540942"
"15/01/2006	0.213785	4.196402	7.019017	7.002872	0.275403	5.703678	3.57406	5.166771	0.986834	1.439	2.19881	3.024406	2.143928	20.42367	0.870499	3.356281	2.814493	1.652523	1.110264	0.300221	0.534064"
"16/01/2006	0.199987	4.210434	7.067256	7.05845	0.271522	5.732631	3.563651	5.15626	0.979506	1.457334	2.238074	3.035561	2.148566	20.439728	0.875309	3.406376	2.842995	1.687131	1.091911	0.300221	0.531771"
