Date,Open,High,Low,Close,Adj Close,Volume
2006-01-02,9.900000,9.900000,9.775000,9.800000,5.674726,145578
2006-01-03,9.850000,10.050000,9.825000,10.000000,5.790537,514222
2006-01-04,10.000000,10.100000,9.950000,10.000000,5.790537,242072
2006-01-05,9.975000,10.050000,9.900000,10.000000,5.790537,396909
2006-01-08,10.000000,10.000000,9.950000,10.000000,5.790537,609358
2006-01-09,9.975000,10.000000,9.850000,9.925000,5.747108,212005
2006-01-10,9.925000,10.000000,9.925000,10.000000,5.790537,694187
2006-01-11,9.950000,9.975000,9.900000,9.950000,5.761584,237412
2006-01-12,9.975000,10.000000,9.900000,9.950000,5.761584,230161
2006-01-15,9.950000,9.975000,9.800000,9.850000,5.703678,585855
2006-01-16,9.825000,9.900000,9.800000,9.900000,5.732631,305236
2006-01-17,9.850000,9.850000,9.750000,9.750000,5.645772,247522
2006-01-18,9.825000,9.875000,9.750000,9.825000,5.689202,1455123
2006-01-19,9.800000,9.800000,9.725000,9.775000,5.660249,194447
2006-01-22,9.700000,9.725000,9.600000,9.625000,5.573390,346827
2006-01-23,9.625000,9.700000,9.575000,9.675000,5.602344,218476
2006-01-24,9.625000,9.750000,9.625000,9.725000,5.631297,333025
2006-01-26,9.750000,9.750000,9.725000,9.750000,5.645772,203216
2006-01-29,9.750000,9.775000,9.650000,9.650000,5.587866,197682
2006-01-30,9.700000,9.800000,9.650000,9.800000,5.674726,510310
2006-01-31,9.800000,9.900000,9.800000,9.900000,5.732631,296023
2006-02-01,9.900000,9.900000,9.850000,9.850000,5.703678,607402
2006-02-02,9.875000,9.875000,9.750000,9.850000,5.703678,428031
2006-02-05,9.825000,9.875000,9.800000,9.875000,5.718156,658243
2006-02-06,9.875000,9.925000,9.850000,9.875000,5.718156,321018
2006-02-07,9.800000,9.925000,9.800000,9.850000,5.703678,2991101
2006-02-08,9.900000,9.925000,9.850000,9.900000,5.732631,753800
2006-02-09,9.900000,9.925000,9.825000,9.875000,5.718156,236728
2006-02-12,9.900000,9.950000,9.875000,9.925000,5.747108,263301
2006-02-13,9.875000,9.950000,9.850000,9.925000,5.747108,3764122
2006-02-14,9.925000,9.950000,9.900000,9.900000,5.732631,898704
2006-02-15,9.950000,10.000000,9.900000,9.975000,5.776060,510743
2006-02-16,9.975000,9.975000,9.900000,9.900000,5.732631,84642
2006-02-19,9.900000,9.925000,9.725000,9.800000,5.674726,257129
2006-02-20,9.750000,9.800000,9.675000,9.700000,5.616821,889583
2006-02-21,9.675000,9.725000,9.650000,9.700000,5.616821,909333
2006-02-22,9.700000,9.800000,9.700000,9.750000,5.645772,1145280
2006-02-23,9.750000,9.900000,9.750000,9.875000,5.718156,671515
2006-02-26,9.875000,9.875000,9.775000,9.850000,5.703678,909236
2006-02-27,9.850000,9.925000,9.850000,9.925000,5.747108,649029
2006-02-28,9.825000,9.900000,9.825000,9.850000,5.703678,2385983
2006-03-01,9.850000,9.950000,9.850000,9.900000,5.732631,3659857
2006-03-02,9.850000,9.950000,9.850000,9.900000,5.732631,444190
2006-03-05,9.900000,9.975000,9.775000,9.975000,5.776060,545544
2006-03-06,9.900000,10.000000,9.900000,10.000000,5.790537,419920
2006-03-07,9.975000,10.050000,9.975000,9.975000,5.776060,1244353
2006-03-08,9.975000,10.050000,9.925000,9.975000,5.776060,915208
2006-03-09,9.975000,9.975000,9.875000,9.875000,5.718156,197412
2006-03-12,9.900000,9.950000,9.875000,9.950000,5.761584,136297
