Date,Open,High,Low,Close,Adj Close,Volume
2006-01-02,6.714760,6.724310,6.638350,6.638350,3.615679,35709
2006-01-03,6.686110,6.752970,6.600140,6.619250,3.605275,39645
2006-01-04,6.514180,6.609690,6.514180,6.609690,3.600069,293279
2006-01-05,6.571490,6.571490,6.542830,6.542830,3.563651,73409
2006-01-08,6.533280,6.561940,6.514180,6.561940,3.574060,111145
2006-01-09,6.552390,6.581040,6.542830,6.581040,3.584464,16861
2006-01-10,6.638350,6.647900,6.628800,6.628800,3.610477,23725
2006-01-11,6.686110,6.714760,6.638350,6.667000,3.631284,279323
2006-01-12,6.590590,6.590590,6.542830,6.581040,3.584464,25143
2006-01-15,6.686110,6.686110,6.495080,6.561940,3.574060,18483
2006-01-16,6.495080,6.542830,6.447320,6.542830,3.563651,56398
2006-01-17,6.447320,6.447320,6.370910,6.370910,3.470013,50176
2006-01-18,6.399560,6.533280,6.351800,6.428210,3.501222,470209
2006-01-19,6.351800,6.351800,6.218080,6.218080,3.386772,179536
2006-01-22,6.218080,6.294490,6.208530,6.284940,3.423188,24767
2006-01-23,6.284940,6.332700,6.284940,6.332700,3.449202,178914
2006-01-24,6.304040,6.437770,6.304040,6.323150,3.444000,681079
2006-01-26,6.475970,6.514180,6.466420,6.466420,3.522035,136127
2006-01-29,6.495080,6.561940,6.495080,6.561940,3.574060,120646
2006-01-30,6.571490,6.600140,6.552390,6.600140,3.594866,24418
2006-01-31,6.533280,6.552390,6.495080,6.495080,3.537645,122346
2006-02-01,6.571490,6.705210,6.571490,6.638350,3.615679,64484
2006-02-02,6.686110,6.762520,6.638350,6.638350,3.615679,17070
2006-02-05,6.638350,6.647900,6.600140,6.638350,3.615679,122635
2006-02-06,6.638350,6.686110,6.581040,6.581040,3.584464,23408
2006-02-07,6.542830,6.561940,6.523730,6.523730,3.553250,16992
2006-02-08,6.514180,6.514180,6.485520,6.495080,3.537645,49195
2006-02-09,6.495080,6.581040,6.447320,6.542830,3.563651,104955
2006-02-12,6.600140,6.772070,6.600140,6.772070,3.688512,222390
2006-02-13,6.772070,6.772070,6.714760,6.724310,3.662497,1063236
2006-02-14,6.590590,6.638350,6.495080,6.495080,3.537645,605812
2006-02-15,6.542830,6.686110,6.542830,6.676560,3.636490,562616
2006-02-16,6.676560,6.676560,6.590590,6.619250,3.605275,701951
2006-02-19,6.638350,6.724310,6.638350,6.714760,3.657296,130387
2006-02-20,6.762520,6.791170,6.705210,6.705210,3.652095,113782
2006-02-21,6.705210,6.800730,6.705210,6.781620,3.693713,62249
2006-02-22,6.848480,6.848480,6.781620,6.848480,3.730130,227182
2006-02-23,6.848480,6.848480,6.781620,6.810280,3.709323,318013
2006-02-26,6.810280,6.829380,6.791170,6.791170,3.698914,335712
2006-02-27,6.772070,6.772070,6.676560,6.733870,3.667705,55421
2006-02-28,6.724310,6.743420,6.724310,6.743420,3.672907,53160
2006-03-01,6.800730,6.848480,6.800730,6.848480,3.730130,210100
2006-03-02,6.781620,6.858040,6.781620,6.791170,3.698914,34525
2006-03-05,6.838930,6.838930,6.733870,6.733870,3.667705,20810
2006-03-06,6.752970,6.752970,6.686110,6.695660,3.646893,72582
2006-03-07,6.724310,6.819830,6.724310,6.810280,3.709323,20523
2006-03-08,6.886690,6.972650,6.886690,6.896240,3.756142,104506
2006-03-09,6.953550,6.991760,6.867590,6.867590,3.740537,47896
2006-03-12,6.886690,7.001310,6.886690,7.001310,3.813370,44512
2006-03-13,7.068170,7.077720,6.982210,7.010860,3.818572,25402
2006-03-14,7.049070,7.087270,7.049070,7.049070,3.839383,221181
2006-03-15,7.154130,7.182790,7.096830,7.182790,3.912217,39160
2006-03-16,7.115930,7.115930,7.068170,7.115930,3.875800,12171
2006-03-19,7.029960,7.049070,7.010860,7.029960,3.929421,3866
2006-03-20,7.068170,7.068170,6.915350,7.068170,3.950777,35458
2006-03-21,7.058620,7.058620,6.953550,6.953550,3.886710,121964
2006-03-22,7.049070,7.049070,7.001310,7.001310,3.913406,3246
2006-03-23,7.010860,7.010860,6.982210,6.982210,3.902730,259601
2006-03-26,6.972650,6.972650,6.963100,6.963100,3.892048,148713
2006-03-27,6.972650,6.972650,6.877140,6.915350,3.865359,16557
2006-03-28,6.991760,7.135030,6.991760,7.058620,3.945440,152228
2006-03-29,7.364270,7.526650,7.326060,7.392920,4.132298,377564
2006-03-30,7.326060,7.326060,7.029960,7.211440,4.030858,95736
2006-04-03,7.240100,7.278310,7.173240,7.278310,4.068236,10339
2006-04-04,7.335610,7.335610,7.163690,7.163690,4.004168,53454
2006-04-05,7.278310,7.354720,7.278310,7.335610,4.100265,14978
2006-04-06,7.469340,7.526650,7.383370,7.421580,4.148317,151224
2006-04-07,7.478890,7.698570,7.478890,7.564850,4.228399,136852
2006-04-10,7.507540,7.526650,7.497990,7.517090,4.201703,28367
2006-04-11,7.392920,7.478890,7.392920,7.478890,4.180351,14693
2006-04-12,7.440680,7.450230,7.440680,7.450230,4.164331,5976
2006-04-13,7.536200,7.622160,7.536200,7.603060,4.249756,21711
2006-04-18,7.431130,7.431130,7.326060,7.421580,4.148317,81818
2006-04-19,7.497990,7.497990,7.211440,7.259200,4.057555,404480
2006-04-20,7.211440,7.230550,7.173240,7.201890,4.025521,990492
2006-04-21,7.201890,7.497990,7.201890,7.421580,4.148317,93367
2006-04-24,7.364270,7.402480,7.335610,7.392920,4.132298,50972
2006-04-26,7.383370,7.507540,7.364270,7.421580,4.148317,222107
2006-04-27,7.421580,7.431130,7.364270,7.402480,4.137641,103305
2006-04-28,7.402480,7.402480,7.221000,7.402480,4.137641,242209
2006-05-01,7.249650,7.306960,7.182790,7.211440,4.030858,481842
2006-05-02,7.211440,7.230550,7.163690,7.163690,4.004168,521873
2006-05-03,7.163690,7.259200,7.144580,7.173240,4.009506,797894
2006-05-04,7.192340,7.287860,7.163690,7.259200,4.057555,31912
2006-05-05,7.335610,7.545750,7.335610,7.497990,4.191026,60749
2006-05-08,7.545750,7.717680,7.545750,7.564850,4.228399,94820
2006-05-09,7.660370,7.660370,7.526650,7.526650,4.207047,424026
2006-05-10,7.469340,7.526650,7.431130,7.440680,4.158993,594060
2006-05-11,7.488440,7.488440,7.412030,7.469340,4.175013,125450
2006-05-12,7.469340,7.469340,7.383370,7.469340,4.175013,63429
2006-05-15,7.402480,7.402480,7.354720,7.364270,4.116283,82191
2006-05-16,7.335610,7.440680,7.306960,7.431130,4.153656,13752
2006-05-17,7.450230,7.450230,7.335610,7.373820,4.121622,23276
2006-05-18,7.306960,7.402480,7.230550,7.278310,4.068236,79790
2006-05-19,7.259200,7.306960,7.259200,7.259200,4.057555,11890
2006-05-22,7.373820,7.402480,7.287860,7.287860,4.073574,92771
2006-05-23,7.259200,7.306960,7.163690,7.240100,4.046879,1307210
2006-05-24,7.326060,7.326060,7.259200,7.306960,4.084250,177364
