Date,Open,High,Low,Close,Adj Close,Volume
2006-01-02,2.545860,2.552190,2.526860,2.526860,0.974623,1380633
2006-01-03,2.558520,2.564860,2.539520,2.545860,0.981951,1864012
2006-01-04,2.558520,2.628190,2.558520,2.621850,1.011261,3107441
2006-01-05,2.621850,2.621850,2.571190,2.583860,0.996608,2081167
2006-01-08,2.552190,2.583860,2.552190,2.571190,0.991721,3380554
2006-01-09,2.564860,2.615520,2.564860,2.602850,1.003932,3673835
2006-01-10,2.583860,2.602850,2.583860,2.590190,0.999049,2368174
2006-01-11,2.590190,2.602850,2.590190,2.602850,1.003932,5962996
2006-01-12,2.590190,2.590190,2.552190,2.571190,0.991721,1992778
2006-01-15,2.583860,2.596520,2.558520,2.558520,0.986834,2247441
2006-01-16,2.564860,2.571190,2.526860,2.539520,0.979506,3441581
2006-01-17,2.520530,2.533190,2.476200,2.476200,0.955083,3314820
2006-01-18,2.476200,2.558520,2.476200,2.545860,0.981951,3720423
2006-01-19,2.577520,2.577520,2.514190,2.526860,0.974623,2189363
2006-01-22,2.482530,2.501530,2.469860,2.482530,0.957524,1706265
2006-01-23,2.476200,2.482530,2.450860,2.469860,0.952637,5601190
2006-01-24,2.469860,2.488860,2.463530,2.482530,0.957524,3010637
2006-01-26,2.628190,2.704180,2.609190,2.672520,1.030805,22107532
2006-01-29,2.672520,2.678850,2.628190,2.647190,1.021034,4743435
2006-01-30,2.653520,2.691520,2.653520,2.685180,1.035688,4719905
2006-01-31,2.685180,2.716850,2.666180,2.710520,1.045461,6570367
2006-02-01,2.697850,2.704180,2.685180,2.685180,1.035688,6287977
2006-02-02,2.666180,2.685180,2.615520,2.634520,1.016148,8343455
2006-02-05,2.615520,2.621850,2.596520,2.602850,1.003932,4597117
2006-02-06,2.583860,2.596520,2.545860,2.558520,0.986834,14669848
2006-02-07,2.533190,2.558520,2.514190,2.526860,0.974623,8292438
2006-02-08,2.564860,2.596520,2.545860,2.577520,0.994162,10556385
2006-02-09,2.590190,2.647190,2.571190,2.577520,0.994162,7408247
2006-02-12,2.571190,2.577520,2.520530,2.533190,0.977064,6154490
2006-02-13,2.520530,2.552190,2.520530,2.539520,0.979506,6958453
2006-02-14,2.564860,2.564860,2.526860,2.526860,0.974623,4570035
2006-02-15,2.501530,2.533190,2.488860,2.495190,0.962407,6894695
2006-02-16,2.501530,2.507860,2.457200,2.469860,0.952637,6569551
2006-02-19,2.488860,2.501530,2.488860,2.501530,0.964853,2872220
2006-02-20,2.488860,2.577520,2.488860,2.577520,0.994162,2854089
2006-02-21,2.577520,2.590190,2.520530,2.539520,0.979506,4181506
2006-02-22,2.558520,2.558520,2.501530,2.514190,0.969736,4338894
2006-02-23,2.476200,2.495190,2.476200,2.482530,0.957524,6053190
2006-02-26,2.488860,2.501530,2.482530,2.488860,0.959966,5792534
2006-02-27,2.482530,2.539520,2.469860,2.514190,0.969736,4742253
2006-02-28,2.495190,2.514190,2.482530,2.482530,0.957524,2892855
2006-03-01,2.482530,2.501530,2.476200,2.482530,0.957524,9411985
2006-03-02,2.488860,2.520530,2.488860,2.495190,0.962407,3156882
2006-03-05,2.495190,2.501530,2.463530,2.469860,0.952637,3289324
2006-03-06,2.463530,2.507860,2.457200,2.501530,0.964853,4797254
2006-03-07,2.501530,2.526860,2.488860,2.526860,0.974623,5731740
2006-03-08,2.463530,2.495190,2.457200,2.482530,1.002889,2834331
2006-03-09,2.482530,2.495190,2.476200,2.476200,1.000332,2611057
2006-03-12,2.469860,2.507860,2.444530,2.507860,1.013122,4915162
2006-03-13,2.564860,2.609190,2.526860,2.577520,1.041263,15248146
2006-03-14,2.615520,2.634520,2.571190,2.571190,1.038706,7261953
2006-03-15,2.596520,2.596520,2.533190,2.552190,1.031030,6580062
2006-03-16,2.564860,2.577520,2.520530,2.526860,1.020798,3142927
2006-03-19,2.520530,2.533190,2.507860,2.514190,1.015679,3484919
2006-03-20,2.526860,2.526860,2.501530,2.520530,1.018240,2545789
2006-03-21,2.520530,2.577520,2.514190,2.564860,1.036149,4065298
2006-03-22,2.552190,2.590190,2.545860,2.552190,1.031030,4566572
2006-03-23,2.539520,2.545860,2.482530,2.495190,1.008003,4162606
2006-03-26,2.488860,2.501530,2.482530,2.488860,1.005446,8193131
2006-03-27,2.482530,2.501530,2.482530,2.495190,1.008003,3773439
2006-03-28,2.495190,2.501530,2.482530,2.495190,1.008003,5880777
2006-03-29,2.507860,2.514190,2.488860,2.507860,1.013122,6445895
2006-03-30,2.495190,2.539520,2.495190,2.539520,1.025912,4937759
2006-04-03,2.520530,2.539520,2.514190,2.533190,1.023354,3432711
2006-04-04,2.539520,2.552190,2.501530,2.501530,1.010565,4423324
2006-04-05,2.507860,2.552190,2.476200,2.482530,1.002889,7181684
2006-04-06,2.488860,2.577520,2.488860,2.577520,1.041263,6226357
2006-04-07,2.577520,2.577520,2.520530,2.533190,1.023354,4169587
2006-04-10,2.514190,2.520530,2.488860,2.495190,1.008003,5263863
2006-04-11,2.488860,2.520530,2.488860,2.514190,1.015679,3017201
2006-04-12,2.501530,2.507860,2.488860,2.488860,1.005446,2052520
2006-04-13,2.488860,2.495190,2.469860,2.476200,1.000332,1576448
2006-04-18,2.476200,2.482530,2.450860,2.457200,0.992656,2996021
2006-04-19,2.482530,2.488860,2.444530,2.450860,0.990095,4257345
2006-04-20,2.438200,2.488860,2.425530,2.476200,1.000332,3386807
2006-04-21,2.495190,2.495190,2.444530,2.469860,0.997771,5933381
2006-04-24,2.501530,2.501530,2.463530,2.482530,1.002889,2129797
2006-04-26,2.482530,2.526860,2.476200,2.526860,1.020798,4451079
2006-04-27,2.514190,2.514190,2.469860,2.495190,1.008003,5055101
2006-04-28,2.476200,2.482530,2.457200,2.469860,0.997771,7780210
2006-05-01,2.482530,2.507860,2.469860,2.501530,1.010565,1733378
2006-05-02,2.488860,2.495190,2.463530,2.463530,0.995214,2727485
2006-05-03,2.482530,2.482530,2.438200,2.463530,0.995214,4339660
2006-05-04,2.444530,2.463530,2.438200,2.444530,0.987538,4671294
2006-05-05,2.457200,2.476200,2.450860,2.463530,0.995214,2617285
2006-05-08,2.469860,2.495190,2.457200,2.482530,1.002889,2178712
2006-05-09,2.488860,2.488860,2.469860,2.469860,0.997771,4144806
2006-05-10,2.476200,2.501530,2.463530,2.495190,1.008003,7856043
2006-05-11,2.514190,2.545860,2.507860,2.520530,1.018240,5545598
2006-05-12,2.488860,2.495190,2.463530,2.469860,0.997771,3118090
2006-05-15,2.450860,2.463530,2.438200,2.450860,0.990095,4622200
2006-05-16,2.450860,2.488860,2.450860,2.457200,0.992656,4026130
2006-05-17,2.457200,2.495190,2.457200,2.488860,1.005446,4468952
2006-05-18,2.457200,2.501530,2.457200,2.482530,1.002889,3791737
2006-05-19,2.482530,2.507860,2.482530,2.507860,1.013122,3843139
2006-05-22,2.495190,2.501530,2.450860,2.463530,0.995214,2305832
2006-05-23,2.482530,2.488860,2.450860,2.482530,1.002889,4605270
2006-05-24,2.476200,2.482530,2.431860,2.444530,0.987538,6603233
2006-05-25,2.425530,2.450860,2.406530,2.419200,0.977305,6039153
2006-05-26,2.419200,2.457200,2.419200,2.457200,0.992656,2926340
2006-05-29,2.457200,2.457200,2.431860,2.450860,0.990095,1445874
2006-05-30,2.438200,2.444530,2.406530,2.406530,0.972187,4927614
2006-05-31,2.374870,2.393870,2.368530,2.368530,0.956836,5956353
2006-06-01,2.381200,2.419200,2.374870,2.412870,0.974748,2996424
2006-06-02,2.412870,2.425530,2.406530,2.419200,0.977305,7790453
2006-06-05,2.393870,2.393870,2.349540,2.362200,0.954278,13982840
2006-06-06,2.324200,2.368530,2.324200,2.343200,0.946603,10727571
2006-06-07,2.343200,2.393870,2.343200,2.393870,0.967072,9465377
2006-06-08,2.393870,2.438200,2.381200,2.387530,0.964511,12063440
2006-06-09,2.368530,2.419200,2.355870,2.419200,0.977305,7196961
2006-06-13,2.374870,2.393870,2.355870,2.381200,0.961954,3903351
2006-06-14,2.362200,2.381200,2.355870,2.374870,0.959397,3879510
2006-06-15,2.362200,2.381200,2.343200,2.343200,0.946603,10532042
2006-06-16,2.355870,2.381200,2.349540,2.362200,0.954278,5075829
2006-06-19,2.343200,2.362200,2.336870,2.336870,0.944045,3594461
2006-06-20,2.311540,2.349540,2.305200,2.311540,0.933813,6822293
2006-06-21,2.324200,2.349540,2.317870,2.343200,0.946603,5580596
2006-06-22,2.343200,2.362200,2.336870,2.343200,0.946603,7207988
2006-06-23,2.330540,2.343200,2.317870,2.317870,0.936370,3164863
2006-06-26,2.311540,2.324200,2.279870,2.279870,0.921019,7039672
2006-06-27,2.286210,2.305200,2.286210,2.286210,0.923580,14125687
2006-06-28,2.248210,2.292540,2.248210,2.279870,0.921019,8238989
2006-06-29,2.286210,2.349540,2.286210,2.324200,0.938927,9094852
2006-06-30,2.343200,2.374870,2.298870,2.374870,0.959397,10167969
2006-07-03,2.343200,2.362200,2.336870,2.336870,0.944045,5710642
2006-07-04,2.336870,2.374870,2.336870,2.362200,0.954278,5461323
2006-07-05,2.349540,2.368530,2.349540,2.362200,0.954278,3495380
2006-07-06,2.336870,2.349540,2.324200,2.349540,0.949164,6158122
2006-07-07,2.355870,2.387530,2.355870,2.381200,0.961954,6009325
2006-07-10,2.368530,2.406530,2.368530,2.400200,0.969630,5519175
2006-07-11,2.387530,2.444530,2.381200,2.406530,0.972187,6683686
2006-07-12,2.419200,2.501530,2.419200,2.469860,0.997771,10520670
2006-07-13,2.469860,2.640850,2.463530,2.615520,1.056614,26930496
2006-07-14,2.609190,2.615520,2.577520,2.596520,1.048938,13053300
2006-07-17,2.583860,2.590190,2.514190,2.564860,1.036149,5054327
2006-07-18,2.552190,2.590190,2.539520,2.577520,1.041263,8822327
2006-07-19,2.571190,2.583860,2.552190,2.564860,1.036149,8520061
2006-07-20,2.596520,2.615520,2.526860,2.552190,1.031030,6771733
2006-07-21,2.552190,2.552190,2.514190,2.514190,1.015679,3880005
2006-07-24,2.488860,2.539520,2.476200,2.495190,1.008003,8057389
2006-07-25,2.507860,2.539520,2.488860,2.514190,1.015679,7656126
2006-07-26,2.526860,2.577520,2.526860,2.571190,1.038706,4240034
2006-07-27,2.545860,2.602850,2.539520,2.602850,1.051496,14646715
2006-07-28,2.602850,2.602850,2.533190,2.533190,1.023354,18636280
2006-07-31,2.564860,2.564860,2.520530,2.533190,1.023354,8730240
2006-08-01,2.533190,2.552190,2.514190,2.520530,1.018240,4584774
2006-08-02,2.501530,2.539520,2.495190,2.520530,1.018240,4536667
2006-08-03,2.545860,2.558520,2.520530,2.558520,1.033587,2936311
2006-08-04,2.558520,2.564860,2.526860,2.526860,1.020798,2487145
2006-08-07,2.552190,2.552190,2.514190,2.533190,1.023354,639017
2006-08-08,2.507860,2.558520,2.501530,2.558520,1.033587,3353914
2006-08-09,2.501530,2.526860,2.488860,2.507860,1.013122,4668621
2006-08-10,2.495190,2.514190,2.469860,2.501530,1.010565,2016706
2006-08-11,2.520530,2.533190,2.507860,2.520530,1.018240,1762425
2006-08-14,2.520530,2.552190,2.514190,2.533190,1.023354,1738046
2006-08-15,2.533190,2.533190,2.501530,2.501530,1.010565,1875072
2006-08-16,2.526860,2.533190,2.514190,2.533190,1.023354,2608238
2006-08-17,2.552190,2.552190,2.520530,2.545860,1.028473,2887344
2006-08-18,2.526860,2.539520,2.514190,2.533190,1.023354,3914808
2006-08-21,2.539520,2.577520,2.539520,2.558520,1.033587,3029936
2006-08-22,2.558520,2.583860,2.552190,2.564860,1.036149,2391168
2006-08-23,2.558520,2.615520,2.558520,2.596520,1.048938,3760958
2006-08-24,2.596520,2.602850,2.507860,2.514190,1.015679,4627290
