Date,Open,High,Low,Close,Adj Close,Volume
2006-01-02,2.878820,2.937980,2.868970,2.918260,1.356511,381551
2006-01-03,2.937980,2.947840,2.888680,2.947840,1.370261,568288
2006-01-04,2.918260,2.947840,2.908400,2.928120,1.361094,1009381
2006-01-05,2.928120,2.947840,2.898540,2.908400,1.351928,726550
2006-01-08,2.947840,2.947840,2.918260,2.937980,1.365677,620568
2006-01-09,2.908400,2.987270,2.908400,2.957700,1.374844,1189014
2006-01-10,2.928120,2.967560,2.878820,2.957700,1.374844,2428538
2006-01-11,2.967560,3.046430,2.967560,3.046430,1.416089,4270040
2006-01-12,3.016850,3.085860,2.987270,3.066140,1.425250,1133041
2006-01-15,3.076000,3.105580,3.056290,3.095720,1.439000,1812351
2006-01-16,3.095720,3.135160,3.076000,3.135160,1.457334,2431628
2006-01-17,3.105580,3.125300,3.036570,3.046430,1.416089,2493061
2006-01-18,3.095720,3.095720,2.957700,3.095720,1.439000,913507
2006-01-19,3.076000,3.135160,3.076000,3.135160,1.457334,1408880
2006-01-22,3.125300,3.135160,3.036570,3.105580,1.443584,1029335
2006-01-23,3.105580,3.145020,3.076000,3.135160,1.457334,1681719
2006-01-24,3.135160,3.204170,3.125300,3.145020,1.461917,4282093
2006-01-26,3.194310,3.243610,3.184450,3.243610,1.507745,1672269
2006-01-29,3.204170,3.233750,3.174590,3.223890,1.498579,1587559
2006-01-30,3.233750,3.243610,3.204170,3.223890,1.498579,2221247
2006-01-31,3.243610,3.253470,3.214030,3.253470,1.512328,1474205
2006-02-01,3.253470,3.253470,3.204170,3.204170,1.489412,2262349
2006-02-02,3.214030,3.223890,3.145020,3.184450,1.480245,930488
2006-02-05,3.154880,3.174590,3.105580,3.105580,1.443584,3173271
2006-02-06,3.095720,3.174590,3.026710,3.154880,1.466500,2456473
2006-02-07,3.056290,3.125300,3.056290,3.085860,1.434417,1806992
2006-02-08,3.115440,3.194310,3.115440,3.164730,1.471079,1400793
2006-02-09,3.223890,3.233750,3.174590,3.204170,1.489412,1963836
2006-02-12,3.174590,3.194310,3.105580,3.145020,1.461917,1932182
2006-02-13,3.194310,3.233750,3.154880,3.214030,1.493996,2651356
2006-02-14,3.233750,3.283040,3.233750,3.253470,1.512328,3171895
2006-02-15,3.233750,3.292900,3.204170,3.292900,1.530656,2627856
2006-02-16,3.302760,3.342200,3.253470,3.273180,1.521490,2757570
2006-02-19,3.312620,3.312620,3.253470,3.263320,1.516907,2851651
2006-02-20,3.263320,3.312620,3.263320,3.292900,1.530656,2279378
2006-02-21,3.253470,3.342200,3.253470,3.322480,1.544407,1569253
2006-02-22,3.332340,3.361910,3.302760,3.342200,1.553573,1312234
2006-02-23,3.352060,3.371770,3.302760,3.322480,1.544407,899168
2006-02-26,3.352060,3.450650,3.352060,3.430930,1.594818,1851954
2006-02-27,3.430930,3.470360,3.401350,3.450650,1.603985,2058388
2006-02-28,3.411210,3.450650,3.332340,3.332340,1.548990,2580134
2006-03-01,3.322480,3.411210,3.312620,3.391490,1.576485,1841750
2006-03-02,3.352060,3.411210,3.332340,3.352060,1.558157,1346794
2006-03-05,3.352060,3.361910,3.292900,3.292900,1.530656,733256
2006-03-06,3.273180,3.322480,3.204170,3.214030,1.493996,1444206
2006-03-07,3.174590,3.214030,3.164730,3.164730,1.471079,1010748
2006-03-08,3.154880,3.214030,3.145020,3.184450,1.480245,1053745
2006-03-09,3.174590,3.578810,3.174590,3.509800,1.631479,9272667
2006-03-12,3.539380,3.805570,3.529520,3.785850,1.759798,3103708
2006-03-13,3.746420,3.766130,3.697120,3.716840,1.727719,2672604
2006-03-14,3.746420,3.766130,3.697120,3.697120,1.718552,892528
2006-03-15,3.697120,3.746420,3.667540,3.687260,1.713969,2826185
2006-03-16,3.706980,3.795710,3.706980,3.746420,1.741469,3398699
2006-03-19,3.687260,3.756270,3.647830,3.736560,1.736885,2771278
2006-03-20,3.775990,3.835150,3.746420,3.815430,1.773547,4174718
2006-03-21,3.795710,3.845000,3.795710,3.835150,1.782714,1003984
2006-03-22,3.884440,3.963310,3.874580,3.943590,1.833121,7748087
2006-03-23,3.943590,3.943590,3.884440,3.904160,1.814792,3490778
2006-03-26,3.904160,3.914020,3.825290,3.904160,1.814792,1088579
2006-03-27,3.825290,3.854860,3.736560,3.736560,1.736885,2231484
2006-03-28,3.706980,3.726700,3.647830,3.706980,1.723136,2787326
2006-03-29,3.706980,3.815430,3.677400,3.756270,1.746047,1778448
2006-03-30,3.706980,3.766130,3.647830,3.726700,1.732303,5687906
2006-04-03,3.726700,3.795710,3.687260,3.795710,1.764381,1219475
2006-04-04,3.805570,3.825290,3.756270,3.756270,1.746047,3192372
2006-04-05,3.795710,3.815430,3.756270,3.795710,1.764381,1889121
2006-04-06,3.795710,3.835150,3.766130,3.766130,1.750631,2906549
2006-04-07,3.756270,3.775990,3.697120,3.716840,1.727719,508298
2006-04-10,3.697120,3.835150,3.697120,3.785850,1.759798,2898564
2006-04-11,3.746420,3.795710,3.726700,3.756270,1.772806,3224936
2006-04-12,3.706980,3.825290,3.706980,3.805570,1.796073,1418121
2006-04-13,3.845000,3.845000,3.677400,3.677400,1.735583,639956
2006-04-18,3.697120,3.914020,3.697120,3.914020,1.847258,1459677
