Date,Open,High,Low,Close,Adj Close,Volume
2006-01-02,5.420000,5.500000,5.410000,5.430000,2.132060,2062150
2006-01-03,5.480000,5.510000,5.440000,5.470000,2.147766,5359718
2006-01-04,5.480000,5.490000,5.410000,5.420000,2.128134,3079891
2006-01-05,5.420000,5.430000,5.360000,5.380000,2.112428,3305100
2006-01-08,5.420000,5.460000,5.400000,5.460000,2.143839,2774930
2006-01-09,5.430000,5.500000,5.430000,5.480000,2.151692,4851017
2006-01-10,5.500000,5.720000,5.490000,5.650000,2.218442,9886393
2006-01-11,5.650000,5.650000,5.530000,5.590000,2.194883,6295803
2006-01-12,5.570000,5.730000,5.570000,5.720000,2.245927,10791941
2006-01-15,5.680000,5.680000,5.570000,5.600000,2.198810,8118463
2006-01-16,5.620000,5.750000,5.600000,5.700000,2.238074,4791147
2006-01-17,5.660000,5.660000,5.530000,5.560000,2.183104,6715490
2006-01-18,5.570000,5.680000,5.570000,5.680000,2.230222,4557667
2006-01-19,5.650000,5.690000,5.600000,5.680000,2.230222,2384390
2006-01-22,5.580000,5.650000,5.570000,5.650000,2.218442,3774705
2006-01-23,5.660000,5.670000,5.570000,5.570000,2.187030,4045643
2006-01-24,5.580000,5.690000,5.580000,5.620000,2.206662,5332010
2006-01-26,5.670000,5.690000,5.590000,5.590000,2.194883,4083368
2006-01-29,5.610000,5.630000,5.570000,5.620000,2.206662,1553638
2006-01-30,5.640000,5.660000,5.570000,5.570000,2.187030,3787268
2006-01-31,5.600000,5.640000,5.540000,5.640000,2.214516,3593596
2006-02-01,5.610000,5.620000,5.550000,5.550000,2.179178,8704925
2006-02-02,5.520000,5.560000,5.470000,5.530000,2.171325,6926881
2006-02-05,5.520000,5.600000,5.520000,5.600000,2.198810,3187525
2006-02-06,5.590000,5.590000,5.480000,5.530000,2.171325,4950384
2006-02-07,5.480000,5.500000,5.430000,5.500000,2.159545,5943071
2006-02-08,5.540000,5.550000,5.410000,5.460000,2.143839,4435054
2006-02-09,5.410000,5.490000,5.410000,5.460000,2.143839,3706537
2006-02-12,5.410000,5.500000,5.340000,5.340000,2.096722,3683746
2006-02-13,5.350000,5.530000,5.350000,5.510000,2.163471,7684561
