Date,Open,High,Low,Close,Adj Close,Volume
2006-01-02,4.389300,4.467330,4.389300,4.457580,2.120726,32445
2006-01-03,4.486840,4.486840,4.399060,4.477090,2.130008,134808
2006-01-04,4.438070,4.525860,4.399060,4.525860,2.153211,35868
2006-01-05,4.506350,4.613640,4.447830,4.564870,2.171769,55732
2006-01-08,4.877000,4.877000,4.496600,4.594140,2.185695,44718
2006-01-09,4.633150,4.633150,4.525860,4.525860,2.153211,76990
2006-01-10,4.564870,4.623400,4.525860,4.564870,2.171769,24314
2006-01-11,4.545370,4.564870,4.457580,4.467330,2.125364,64090
2006-01-12,4.486840,4.613640,4.467330,4.525860,2.153211,57309
2006-01-15,4.594140,4.623400,4.477090,4.506350,2.143928,26827
2006-01-16,4.525860,4.525860,4.389300,4.516100,2.148566,118894
2006-01-17,4.447830,4.457580,4.389300,4.438070,2.111443,139793
2006-01-18,4.428320,4.584380,4.389300,4.545370,2.162492,102809
2006-01-19,4.594140,4.603890,4.555120,4.594140,2.185695,51441
2006-01-22,4.535610,4.555120,4.408810,4.486840,2.134646,102543
2006-01-23,4.486840,4.486840,4.389300,4.389300,2.088241,47279
2006-01-24,4.408810,4.535610,4.389300,4.516100,2.148566,116557
2006-01-26,4.545370,4.672170,4.545370,4.652660,2.213536,42553
2006-01-29,4.662410,4.769710,4.642910,4.759950,2.264581,67936
2006-01-30,4.769710,4.798970,4.584380,4.584380,2.181052,160927
2006-01-31,4.720940,4.730690,4.603890,4.681920,2.227457,75255
2006-02-01,4.701430,4.701430,4.486840,4.545370,2.162492,94826
2006-02-02,4.486840,4.545370,4.389300,4.389300,2.088241,1163163
2006-02-05,4.399060,4.535610,4.399060,4.486840,2.134646,18078
2006-02-06,4.535610,4.535610,4.418560,4.418560,2.102162,158156
2006-02-07,4.408810,4.467330,4.389300,4.389300,2.088241,93932
2006-02-08,4.389300,4.486840,4.389300,4.438070,2.111443,266969
2006-02-09,4.467330,4.467330,4.379550,4.389300,2.088241,930493
2006-02-12,4.389300,4.447830,4.330780,4.379550,2.083602,262156
2006-02-13,4.379550,4.408810,4.379550,4.389300,2.088241,205856
2006-02-14,4.438070,4.438070,4.389300,4.389300,2.088241,147149
2006-02-15,4.438070,4.438070,4.272250,4.311270,2.051117,121347
2006-02-16,4.311270,4.379550,4.272250,4.311270,2.051117,210572
2006-02-19,4.369790,4.369790,4.213730,4.242990,2.018633,320014
2006-02-20,4.194220,4.262500,4.155210,4.262500,2.027915,563424
2006-02-21,4.223480,4.242990,4.174710,4.242990,2.018633,493926
2006-02-22,4.350290,4.496600,4.350290,4.428320,2.106805,503815
2006-02-23,4.447830,4.457580,4.379550,4.399060,2.092884,430114
2006-02-26,4.477090,4.828230,4.477090,4.681920,2.227457,400232
2006-02-27,4.711180,4.730690,4.652660,4.711180,2.241378,237424
2006-02-28,4.652660,4.652660,4.506350,4.506350,2.143928,332384
