Date,Open,High,Low,Close,Adj Close,Volume
2006-01-02,3.720000,3.780000,3.710000,3.780000,3.155906,2806653
2006-01-03,3.840000,3.870000,3.830000,3.830000,3.197651,4518328
2006-01-04,3.840000,3.840000,3.800000,3.800000,3.172604,2901347
2006-01-05,3.790000,3.800000,3.710000,3.730000,3.114162,2345592
2006-01-08,3.800000,3.840000,3.780000,3.840000,3.206001,4309292
2006-01-09,3.800000,3.830000,3.770000,3.790000,3.164255,5204184
2006-01-10,3.800000,3.820000,3.760000,3.760000,3.139209,1791518
2006-01-11,3.800000,3.810000,3.770000,3.770000,3.147557,2800705
2006-01-12,3.750000,3.810000,3.730000,3.810000,3.180953,2344443
2006-01-15,3.870000,4.020000,3.870000,4.020000,3.356281,9512675
2006-01-16,4.050000,4.090000,4.030000,4.080000,3.406376,9330979
2006-01-17,4.140000,4.150000,3.870000,3.880000,3.239396,16124680
2006-01-18,3.890000,3.910000,3.770000,3.860000,3.222698,8197819
2006-01-19,3.960000,3.960000,3.830000,3.840000,3.206001,6996931
2006-01-22,3.860000,3.920000,3.830000,3.900000,3.256094,9484216
2006-01-23,3.920000,3.940000,3.710000,3.820000,3.189302,20865724
2006-01-24,3.800000,3.810000,3.720000,3.740000,3.122511,21682178
2006-01-26,3.770000,3.810000,3.760000,3.790000,3.164255,6213945
2006-01-29,3.850000,3.920000,3.840000,3.920000,3.272792,13336095
2006-01-30,3.940000,3.950000,3.820000,3.840000,3.206001,14537363
2006-01-31,3.830000,3.830000,3.770000,3.810000,3.180953,13571876
2006-02-01,3.820000,3.910000,3.800000,3.830000,3.197651,7465159
2006-02-02,3.770000,3.800000,3.720000,3.730000,3.114162,11308877
2006-02-05,3.730000,3.800000,3.720000,3.780000,3.155906,7515660
2006-02-06,3.760000,3.760000,3.610000,3.630000,3.030672,12013015
2006-02-07,3.540000,3.540000,3.440000,3.470000,2.897089,14216581
2006-02-08,3.470000,3.610000,3.470000,3.610000,3.013974,14614280
2006-02-09,3.610000,3.660000,3.520000,3.520000,2.938833,6473472
2006-02-12,3.500000,3.530000,3.460000,3.490000,2.913787,4077580
2006-02-13,3.540000,3.550000,3.490000,3.540000,2.955531,10658663
2006-02-14,3.510000,3.530000,3.480000,3.500000,2.922136,5553134
2006-02-15,3.470000,3.480000,3.370000,3.370000,2.813599,5901357
2006-02-16,3.410000,3.460000,3.410000,3.460000,2.888740,6817043
2006-02-19,3.520000,3.610000,3.520000,3.590000,2.997276,5439972
2006-02-20,3.620000,3.780000,3.610000,3.760000,3.139209,11575219
2006-02-21,3.810000,3.840000,3.750000,3.750000,3.130859,6572035
2006-02-22,3.740000,3.750000,3.690000,3.700000,3.089115,9844383
2006-02-23,3.680000,3.700000,3.660000,3.680000,3.072417,9394599
2006-02-26,3.740000,3.790000,3.700000,3.700000,3.089115,9347461
2006-02-27,3.670000,3.690000,3.630000,3.640000,3.039022,4804811
2006-02-28,3.670000,3.720000,3.640000,3.680000,3.072417,8940012
2006-03-01,3.710000,3.740000,3.680000,3.740000,3.122511,4956545
2006-03-02,3.780000,3.810000,3.750000,3.780000,3.155906,7523367
2006-03-05,3.820000,3.820000,3.820000,3.820000,3.247902,15000
2006-03-06,3.680000,3.720000,3.660000,3.700000,3.145874,5486585
2006-03-07,3.640000,3.640000,3.600000,3.600000,3.060850,4937420
2006-03-08,3.550000,3.610000,3.510000,3.610000,3.069352,3049103
2006-03-09,3.600000,3.700000,3.590000,3.670000,3.120367,3464718
2006-03-12,3.650000,3.700000,3.640000,3.700000,3.145874,1847051
2006-03-13,3.750000,3.760000,3.710000,3.730000,3.171381,5198191
2006-03-14,3.760000,3.800000,3.750000,3.800000,3.230897,9873667
2006-03-15,3.850000,3.890000,3.810000,3.890000,3.307418,11282732
2006-03-16,3.900000,3.950000,3.880000,3.900000,3.315921,11385326
2006-03-19,3.900000,3.950000,3.880000,3.910000,3.324423,5320035
2006-03-20,3.870000,3.890000,3.850000,3.870000,3.290414,3922058
2006-03-21,3.880000,4.000000,3.880000,4.000000,3.400945,5669706
2006-03-22,4.000000,4.000000,3.970000,3.980000,3.383940,3468798
2006-03-23,4.010000,4.030000,3.950000,3.960000,3.366935,6123486
2006-03-26,3.980000,4.010000,3.960000,4.000000,3.400945,3439766
2006-03-27,3.960000,3.980000,3.890000,3.900000,3.315921,6271092
2006-03-28,3.940000,3.980000,3.930000,3.950000,3.358433,4646885
2006-03-29,3.970000,3.990000,3.900000,3.920000,3.332926,5853919
2006-03-30,3.960000,3.970000,3.930000,3.950000,3.358433,11674433
2006-04-03,3.940000,3.950000,3.910000,3.950000,3.358433,4157230
2006-04-04,4.000000,4.100000,3.980000,4.080000,3.468964,9687654
2006-04-05,4.080000,4.130000,4.060000,4.130000,3.511475,6550433
2006-04-06,4.160000,4.230000,4.150000,4.210000,3.579494,5364963
2006-04-07,4.240000,4.270000,4.140000,4.140000,3.519978,5619131
2006-04-10,4.100000,4.100000,4.010000,4.040000,3.434954,4318657
2006-04-11,4.130000,4.240000,4.120000,4.240000,3.605001,8065054
2006-04-12,4.250000,4.270000,4.150000,4.170000,3.545484,5963144
2006-04-13,4.180000,4.200000,4.090000,4.110000,3.494470,2069822
2006-04-18,4.210000,4.360000,4.200000,4.300000,3.656015,9189064
2006-04-19,4.440000,4.480000,4.360000,4.380000,3.724034,9901301
2006-04-20,4.400000,4.470000,4.370000,4.440000,3.775048,7967223
2006-04-21,4.400000,4.440000,4.350000,4.390000,3.732537,4768207
2006-04-24,4.460000,4.580000,4.460000,4.500000,3.826063,5075127
2006-04-26,4.500000,4.510000,4.420000,4.510000,3.834564,5087753
2006-04-27,4.500000,4.500000,4.450000,4.470000,3.800555,5552121
2006-04-28,4.420000,4.420000,4.260000,4.300000,3.656015,12608064
2006-05-01,4.360000,4.430000,4.360000,4.420000,3.758044,3282957
2006-05-02,4.460000,4.480000,4.350000,4.350000,3.698527,5085454
2006-05-03,4.430000,4.440000,4.390000,4.430000,3.766545,5347863
2006-05-04,4.340000,4.340000,4.280000,4.320000,3.673020,5178022
2006-05-05,4.300000,4.400000,4.300000,4.390000,3.732537,2343780
2006-05-08,4.440000,4.490000,4.420000,4.450000,3.783551,3941319
2006-05-09,4.460000,4.540000,4.430000,4.530000,3.851571,4218403
2006-05-10,4.570000,4.640000,4.510000,4.550000,3.868575,4243375
2006-05-11,4.580000,4.620000,4.510000,4.580000,3.894082,4780599
2006-05-12,4.580000,4.590000,4.520000,4.540000,3.860071,1712406
2006-05-15,4.460000,4.460000,4.350000,4.350000,3.698527,5008319
2006-05-16,4.250000,4.270000,4.150000,4.180000,3.553987,7947090
2006-05-17,4.180000,4.300000,4.180000,4.240000,3.605001,2846382
2006-05-18,4.080000,4.200000,4.060000,4.090000,3.477466,4219615
2006-05-19,4.090000,4.190000,4.080000,4.080000,3.468964,2574064
2006-05-22,4.080000,4.080000,3.850000,3.920000,3.332926,4622473
2006-05-23,3.940000,3.970000,3.880000,3.890000,3.307418,3144129
2006-05-24,4.020000,4.090000,3.970000,4.040000,3.434954,3509503
2006-05-25,3.950000,4.030000,3.930000,3.980000,3.383940,3484883
2006-05-26,4.080000,4.100000,4.040000,4.050000,3.443456,7397730
2006-05-29,4.110000,4.150000,4.100000,4.150000,3.528480,4016662
2006-05-30,4.150000,4.180000,4.110000,4.160000,3.536982,1337443
