Date,Open,High,Low,Close,Adj Close,Volume
2006-01-02,2.000000,2.000000,1.900000,1.900000,1.643871,3434
2006-01-03,1.940000,1.940000,1.900000,1.900000,1.643871,14029
2006-01-04,1.910000,1.910000,1.910000,1.910000,1.652523,17151
2006-01-05,1.900000,1.940000,1.900000,1.940000,1.678479,2600
2006-01-08,1.950000,1.950000,1.950000,1.950000,1.687131,0
2006-01-09,1.940000,1.940000,1.940000,1.940000,1.678479,1200
2006-01-10,1.950000,1.980000,1.950000,1.980000,1.713087,2000
2006-01-11,1.980000,1.980000,1.910000,1.920000,1.661175,5690
2006-01-12,1.920000,1.920000,1.920000,1.920000,1.661175,900
2006-01-15,1.920000,1.920000,1.910000,1.910000,1.652523,1330
2006-01-16,1.910000,1.950000,1.900000,1.950000,1.687131,6200
2006-01-17,1.900000,1.950000,1.900000,1.950000,1.687131,4686
2006-01-18,1.900000,1.900000,1.900000,1.900000,1.643871,726
2006-01-19,1.900000,1.900000,1.750000,1.750000,1.514092,26228
2006-01-22,1.850000,1.850000,1.800000,1.800000,1.557351,15916
2006-01-23,1.900000,1.990000,1.900000,1.990000,1.721739,55000
2006-01-24,1.980000,1.980000,1.950000,1.950000,1.687131,20136
2006-01-26,1.980000,1.990000,1.950000,1.950000,1.687131,35764
2006-01-29,1.900000,1.980000,1.900000,1.960000,1.695783,44830
2006-01-30,1.960000,1.980000,1.930000,1.930000,1.669827,73000
2006-01-31,1.970000,1.980000,1.970000,1.980000,1.713087,23000
2006-02-01,1.980000,1.980000,1.930000,1.930000,1.669827,31700
2006-02-02,1.950000,1.950000,1.950000,1.950000,1.687131,8210
2006-02-05,1.950000,1.990000,1.950000,1.990000,1.721739,24890
2006-02-06,1.990000,2.180000,1.990000,2.180000,1.886126,88423
2006-02-07,2.180000,2.180000,2.150000,2.150000,1.860170,15913
2006-02-08,2.150000,2.160000,2.000000,2.030000,1.756346,30001
2006-02-09,2.010000,2.010000,2.010000,2.010000,1.739043,10000
2006-02-12,2.050000,2.050000,2.030000,2.030000,1.756346,9930
2006-02-13,2.010000,2.010000,1.960000,2.000000,1.730391,29095
2006-02-14,1.960000,1.970000,1.960000,1.970000,1.704435,4020
2006-02-15,2.000000,2.000000,1.970000,1.970000,1.704435,5500
2006-02-16,1.970000,2.000000,1.960000,2.000000,1.730391,3000
2006-02-19,2.020000,2.200000,2.020000,2.200000,1.903430,34692
2006-02-20,2.230000,2.490000,2.230000,2.490000,2.154336,78090
2006-02-21,2.480000,2.480000,2.380000,2.380000,2.059165,32875
2006-02-22,2.430000,2.470000,2.380000,2.380000,2.059165,14210
2006-02-23,2.380000,2.380000,2.300000,2.300000,1.989950,7876
