Date,Open,High,Low,Close,Adj Close,Volume
2006-01-02,2.592260,2.611110,2.592260,2.601690,1.266253,15085
2006-01-03,2.639390,2.677100,2.639390,2.677100,1.302955,47322
2006-01-04,2.639390,2.639390,2.318900,2.403730,1.169905,381855
2006-01-05,2.394310,2.394310,2.262340,2.356600,1.146967,788077
2006-01-08,2.366030,2.413160,2.328320,2.413160,1.174495,889126
2006-01-09,2.441440,2.450860,2.384880,2.432010,1.183669,536620
2006-01-10,2.432010,2.432010,2.384880,2.394310,1.165320,468373
2006-01-11,2.403730,2.403730,2.347170,2.403730,1.169905,382153
2006-01-12,2.366030,2.366030,2.318900,2.347170,1.142377,183595
2006-01-15,2.347170,2.347170,2.281190,2.281190,1.110264,141998
2006-01-16,2.309470,2.309470,2.196350,2.243480,1.091911,228799
2006-01-17,2.196350,2.252910,2.186930,2.196350,1.068973,186960
2006-01-18,2.205780,2.205780,2.196350,2.205780,1.073562,124149
2006-01-19,2.205780,2.252910,2.205780,2.215200,1.078147,137320
2006-01-22,2.205780,2.205780,2.186930,2.205780,1.073562,152557
2006-01-23,2.196350,2.205780,2.177500,2.196350,1.068973,87532
2006-01-24,2.196350,2.205780,2.196350,2.196350,1.068973,162690
2006-01-26,2.205780,2.215200,2.186930,2.186930,1.064388,98811
2006-01-29,2.186930,2.186930,2.073810,2.073810,1.009332,85239
2006-01-30,2.064380,2.073810,1.932410,2.073810,1.009332,399793
2006-01-31,2.045530,2.111510,2.045530,2.083240,1.013921,122660
2006-02-01,2.073810,2.083240,2.073810,2.083240,1.013921,62198
2006-02-02,2.073810,2.120940,2.073810,2.120940,1.032270,86820
2006-02-05,2.120940,2.205780,2.111510,2.205780,1.073562,134412
2006-02-06,2.224630,2.300040,2.224630,2.262340,1.101090,289050
2006-02-07,2.234060,2.234060,2.224630,2.234060,1.087326,50833
2006-02-08,2.252910,2.252910,2.186930,2.215200,1.078147,138950
2006-02-09,2.215200,2.224630,2.215200,2.215200,1.078147,92464
2006-02-12,2.224630,2.271760,2.224630,2.262340,1.101090,357646
2006-02-13,2.186930,2.271760,2.186930,2.262340,1.101090,200804
2006-02-14,2.262340,2.356600,2.262340,2.318900,1.128618,1166179
2006-02-15,2.318900,2.403730,2.318900,2.356600,1.146967,388649
2006-02-16,2.309470,2.441440,2.309470,2.375450,1.156141,95213
2006-02-19,2.375450,2.375450,2.318900,2.347170,1.142377,133061
2006-02-20,2.347170,2.375450,2.347170,2.347170,1.142377,131091
2006-02-21,2.366030,2.432010,2.356600,2.432010,1.183669,56437
2006-02-22,2.413160,2.450860,2.356600,2.413160,1.174495,105471
2006-02-23,2.384880,2.413160,2.309470,2.309470,1.124029,103656
2006-02-26,2.328320,2.441440,2.328320,2.375450,1.156141,75390
2006-02-27,2.403730,2.450860,2.384880,2.450860,1.192844,183906
2006-02-28,2.441440,2.441440,2.309470,2.318900,1.128618,769214
2006-03-01,2.356600,2.375450,2.309470,2.309470,1.124029,54209
2006-03-02,2.309470,2.309470,2.234060,2.281190,1.110264,59413
2006-03-05,2.290620,2.290620,2.224630,2.224630,1.082736,20687
2006-03-06,2.271760,2.328320,2.215200,2.215200,1.099325,5369
2006-03-07,2.224630,2.224630,2.215200,2.215200,1.099325,10927
2006-03-08,2.224630,2.262340,2.215200,2.215200,1.099325,52860
2006-03-09,2.262340,2.262340,2.224630,2.243480,1.113359,11584
2006-03-12,2.252910,2.262340,2.224630,2.224630,1.104005,63138
2006-03-13,2.215200,2.262340,2.215200,2.215200,1.099325,23438
2006-03-14,2.196350,2.224630,2.168070,2.224630,1.104005,32328
2006-03-15,2.224630,2.224630,2.177500,2.186930,1.085296,209281
2006-03-16,2.215200,2.234060,2.215200,2.234060,1.108685,23941
2006-03-19,2.215200,2.215200,2.196350,2.196350,1.089971,15817
2006-03-20,2.215200,2.215200,2.186930,2.205780,1.094650,13733
2006-03-21,2.186930,2.215200,2.186930,2.186930,1.085296,20053
2006-03-22,2.234060,2.234060,2.186930,2.186930,1.085296,9548
2006-03-23,2.196350,2.234060,2.196350,2.215200,1.099325,17086
2006-03-26,2.224630,2.234060,2.215200,2.215200,1.099325,140155
2006-03-27,2.215200,2.224630,2.215200,2.224630,1.104005,62381
2006-03-28,2.224630,2.252910,2.224630,2.224630,1.104005,15564
2006-03-29,2.234060,2.234060,2.224630,2.224630,1.104005,42107
2006-03-30,2.234060,2.262340,2.224630,2.234060,1.108685,60767
2006-04-03,2.234060,2.262340,2.224630,2.224630,1.104005,49075
2006-04-04,2.243480,2.309470,2.234060,2.271760,1.127393,84537
2006-04-05,2.271760,2.300040,2.262340,2.281190,1.132073,78295
2006-04-06,2.262340,2.281190,2.252910,2.252910,1.118039,199029
2006-04-07,2.262340,2.262340,2.224630,2.262340,1.122719,196871
2006-04-10,2.243480,2.252910,2.234060,2.243480,1.113359,40030
2006-04-11,2.252910,2.252910,2.224630,2.252910,1.118039,85611
2006-04-12,2.234060,2.234060,2.234060,2.234060,1.108685,193130
2006-04-13,2.234060,2.243480,2.234060,2.243480,1.113359,45087
2006-04-18,2.252910,2.281190,2.252910,2.271760,1.127393,119471
2006-04-19,2.262340,2.262340,2.215200,2.234060,1.108685,108648
2006-04-20,2.243480,2.271760,2.234060,2.262340,1.122719,513541
2006-04-21,2.262340,2.356600,2.186930,2.356600,1.169497,441257
2006-04-24,2.347170,2.347170,2.224630,2.309470,1.146108,36992
2006-04-26,2.243480,2.243480,2.196350,2.243480,1.113359,19626
2006-04-27,2.177500,2.177500,2.120940,2.168070,1.075936,266198
2006-04-28,2.111510,2.177500,2.102090,2.102090,1.043193,65256
2006-05-01,2.120940,2.139790,2.120940,2.139790,1.061902,78044
2006-05-02,2.149220,2.149220,2.073810,2.073810,1.029158,27059
2006-05-03,2.073810,2.073810,2.017250,2.026680,1.005769,288964
2006-05-04,1.988970,2.092660,1.885280,2.026680,1.005769,139716
2006-05-05,1.988970,2.045530,1.960690,2.007820,0.996410,189001
2006-05-08,2.045530,2.111510,2.045530,2.111510,1.047867,189023
2006-05-09,2.073810,2.073810,2.007820,2.026680,1.005769,57310
2006-05-10,2.073810,2.092660,2.073810,2.092660,1.038513,676476
2006-05-11,2.102090,2.149220,2.092660,2.149220,1.066581,202251
2006-05-12,2.158650,2.234060,2.149220,2.234060,1.108685,112494
2006-05-15,2.196350,2.196350,2.073810,2.073810,1.029158,56430
2006-05-16,2.073810,2.120940,2.073810,2.073810,1.029158,23750
2006-05-17,2.111510,2.120940,2.111510,2.120940,1.052547,51027
2006-05-18,2.120940,2.120940,2.120940,2.120940,1.052547,58423
2006-05-19,2.120940,2.168070,2.073810,2.168070,1.075936,66202
2006-05-22,2.073810,2.073810,2.017250,2.017250,1.001090,55339
2006-05-23,2.017250,2.036100,2.017250,2.026680,1.005769,414992
2006-05-24,2.026680,2.036100,2.026680,2.036100,1.010444,42540
2006-05-25,2.026680,2.073810,2.026680,2.073810,1.029158,1094582
2006-05-26,2.045530,2.045530,2.036100,2.036100,1.010444,22811
2006-05-29,2.045530,2.073810,2.036100,2.073810,1.029158,78073
2006-05-30,2.073810,2.073810,2.026680,2.026680,1.005769,626593
2006-05-31,1.998400,2.026680,1.979540,2.026680,1.005769,44409
2006-06-01,2.026680,2.026680,2.007820,2.007820,0.996410,54373
2006-06-02,1.988970,2.036100,1.970120,1.979540,0.982375,98349
2006-06-05,2.007820,2.007820,1.904130,1.904130,0.944952,97212
2006-06-06,1.979540,1.979540,1.828720,1.866430,0.926243,65604
2006-06-07,1.847580,1.904130,1.847580,1.885280,0.935597,36804
2006-06-08,1.857000,1.857000,1.743880,1.791020,0.888820,106128
2006-06-09,1.795730,1.795730,1.772160,1.772160,0.879460,135480
2006-06-13,1.762740,1.762740,1.630770,1.659050,0.823327,181859
2006-06-14,1.649620,1.696750,1.640190,1.696750,0.842037,127568
2006-06-15,1.701470,1.743880,1.696750,1.696750,0.842037,22649
2006-06-16,1.687330,1.725030,1.677900,1.725030,0.856071,138334
2006-06-19,1.696750,1.715610,1.668470,1.696750,0.842037,81737
2006-06-20,1.687330,1.696750,1.677900,1.677900,0.832682,53873
2006-06-21,1.640190,1.640190,1.611910,1.611910,0.799934,88665
2006-06-22,1.621340,1.626050,1.593060,1.602490,0.795259,1149937
2006-06-23,1.602490,1.602490,1.564780,1.593060,0.790579,69486
2006-06-26,1.555360,1.555360,1.461090,1.470520,0.729767,397042
2006-06-27,1.498800,1.536500,1.479950,1.498800,0.743801,255044
